round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,1,Italy,,1,0,1,Turkey,1
1,SPRING,England,1,France,,1,0,1,Italy;Russia;Turkey,3
1,SPRING,France,1,Germany;Italy,,2,0,2,England,1
1,SPRING,Germany,1,,,0,0,0,France;Italy,2
1,SPRING,Italy,1,England;Germany;Russia;Turkey,,4,0,4,Austria;France,2
1,SPRING,Russia,1,England,,1,0,1,Italy,1
1,SPRING,Turkey,2,Austria;England,,2,0,2,Italy,1
2,FALL,Austria,1,England;Italy,,2,0,2,Turkey,1
2,FALL,England,1,France,France,1,1,0,Austria;France;Germany;Russia;Turkey,5
2,FALL,France,1,England;Russia,England,2,1,1,England,1
2,FALL,Germany,1,England;Russia;Turkey,Russia,3,1,2,Russia,1
2,FALL,Italy,1,Turkey,Turkey,1,1,0,Austria;Turkey,2
2,FALL,Russia,1,England;Germany,Germany,2,1,1,France;Germany;Turkey,3
2,FALL,Turkey,2,Austria;England;Italy;Russia,Italy,4,1,3,Germany;Italy,2
3,SPRING,Austria,1,,,0,0,0,Germany;Italy;Russia;Turkey,4
3,SPRING,England,1,France;Germany,Germany,2,1,1,Germany;Russia;Turkey,3
3,SPRING,France,1,Russia,Russia,1,1,0,England;Germany;Russia;Turkey,4
3,SPRING,Germany,1,Austria;England;France;Russia,England,4,1,3,England;Italy;Turkey,3
3,SPRING,Italy,1,Austria;Germany,,2,0,2,Turkey,1
3,SPRING,Russia,1,Austria;England;France,France,3,1,2,France;Germany;Turkey,3
3,SPRING,Turkey,2,Austria;England;France;Germany;Italy;Russia,,6,0,6,,0
4,FALL,Austria,1,France;Turkey,,2,0,2,England;Italy;Russia,3
4,FALL,England,1,Austria;France;Germany;Italy;Russia;Turkey,Italy;Russia,6,2,4,Italy;Russia,2
4,FALL,France,1,Russia,,1,0,1,Austria;England;Germany;Turkey,4
4,FALL,Germany,1,France,,1,0,1,England;Italy,2
4,FALL,Italy,1,Austria;England;Germany,England,3,1,2,England;Russia,2
4,FALL,Russia,1,Austria;England;Italy;Turkey,England;Turkey,4,2,2,England;France;Turkey,3
4,FALL,Turkey,2,France;Russia,Russia,2,1,1,Austria;England;Russia,3
5,SPRING,Austria,1,,,0,0,0,Germany;Russia;Turkey,3
5,SPRING,England,1,,,0,0,0,Germany,1
5,SPRING,France,1,,,0,0,0,Germany,1
5,SPRING,Germany,1,Austria;England;France;Italy;Russia;Turkey,Russia;Turkey,6,2,4,Russia;Turkey,2
5,SPRING,Italy,1,,,0,0,0,Germany;Russia,2
5,SPRING,Russia,1,Austria;Germany;Italy,Germany,3,1,2,Germany;Turkey,2
5,SPRING,Turkey,2,Austria;Germany;Russia,Germany,3,1,2,Germany,1
6,FALL,Austria,1,England;France;Germany,England;Germany,3,2,1,England;Germany;Turkey,3
6,FALL,England,1,Austria;France;Germany;Italy;Russia;Turkey,Austria;Germany,6,2,4,Austria;Germany,2
6,FALL,France,1,Germany;Italy;Russia;Turkey,Italy;Russia;Turkey,4,3,1,Austria;England;Italy;Russia;Turkey,5
6,FALL,Germany,1,Austria;England;Italy;Russia;Turkey,Austria;England;Italy;Russia,5,4,1,Austria;England;France;Italy;Russia,5
6,FALL,Italy,1,France;Germany;Turkey,France;Germany,3,2,1,England;France;Germany,3
6,FALL,Russia,1,France;Germany;Turkey,France;Germany,3,2,1,England;France;Germany,3
6,FALL,Turkey,2,Austria;France,France,2,1,1,England;France;Germany;Italy;Russia,5
7,SPRING,Austria,1,Italy;Russia,Russia,2,1,1,England;France;Germany;Russia;Turkey,5
7,SPRING,England,1,Austria;France;Germany;Italy;Russia,France;Russia,5,2,3,France;Russia,2
7,SPRING,France,1,Austria;England;Germany;Italy;Russia;Turkey,England;Russia,6,2,4,England;Russia,2
7,SPRING,Germany,1,Austria;Russia,,2,0,2,England;France;Turkey,3
