round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,Russia,Russia,1,1,0,England;Russia;Turkey,3
1,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,Russia,6,1,5,Russia,1
1,SPRING,France,2,Russia;Turkey,Russia,2,1,1,England;Russia,2
1,SPRING,Germany,2,Turkey,Turkey,1,1,0,England;Russia;Turkey,3
1,SPRING,Italy,2,,,0,0,0,England,1
1,SPRING,Russia,2,Austria;England;France;Germany;Turkey,Austria;England;France,5,3,2,Austria;England;France,3
1,SPRING,Turkey,3,Austria;Germany,Germany,2,1,1,England;France;Germany;Russia,4
2,FALL,Austria,2,England;France;Russia,England;Russia,3,2,1,England;Italy;Russia,3
2,FALL,England,2,Austria;Turkey,Austria,2,1,1,Austria;France;Germany;Italy;Russia,5
2,FALL,France,2,England;Germany;Italy;Russia,Germany;Italy;Russia,4,3,1,Austria;Germany;Italy;Russia,4
2,FALL,Germany,2,England;France;Italy;Russia;Turkey,France;Italy,5,2,3,France;Italy,2
2,FALL,Italy,2,Austria;England;France;Germany;Russia,France;Germany;Russia,5,3,2,France;Germany;Russia,3
2,FALL,Russia,2,Austria;England;France;Italy,Austria;France;Italy,4,3,1,Austria;France;Germany;Italy,4
2,FALL,Turkey,3,,,0,0,0,England;Germany,2
3,SPRING,Austria,2,France,,1,0,1,Italy;Russia;Turkey,3
3,SPRING,England,2,France;Russia;Turkey,France;Turkey,3,2,1,France;Germany;Turkey,3
3,SPRING,France,2,England,England,1,1,0,Austria;England;Germany;Turkey,4
3,SPRING,Germany,2,England;France;Russia;Turkey,Turkey,4,1,3,Turkey,1
3,SPRING,Italy,2,Austria,,1,0,1,,0
3,SPRING,Russia,2,Austria;Turkey,,2,0,2,England;Germany,2
3,SPRING,Turkey,3,Austria;England;France;Germany,England;Germany,4,2,2,England;Germany;Russia,3
4,FALL,Austria,2,England;Italy;Russia;Turkey,England;Italy,4,2,2,England;France;Italy,3
4,FALL,England,2,Austria;France;Germany;Turkey,Austria;France;Germany,4,3,1,Austria;France;Germany;Italy,4
4,FALL,France,2,Austria;England;Germany;Italy;Russia;Turkey,England;Italy;Russia;Turkey,6,4,2,England;Italy;Russia;Turkey,4
4,FALL,Germany,2,England;Italy;Russia,England;Italy,3,2,1,England;France;Italy,3
4,FALL,Italy,2,Austria;England;France;Germany;Russia;Turkey,Austria;France;Germany,6,3,3,Austria;France;Germany,3
4,FALL,Russia,2,France,France,1,1,0,Austria;France;Germany;Italy,4
4,FALL,Turkey,3,France,France,1,1,0,Austria;England;France;Italy,4
5,SPRING,Austria,2,England;Italy;Russia;Turkey,England;Italy;Turkey,4,3,1,England;Germany;Italy;Turkey,4
5,SPRING,England,2,Austria;Russia,Austria,2,1,1,Austria;France;Germany;Turkey,4
5,SPRING,France,2,England;Turkey,Turkey,2,1,1,Germany;Turkey,2
5,SPRING,Germany,2,Austria;England;France;Turkey,,4,0,4,Italy,1
5,SPRING,Italy,2,Austria;Germany;Russia;Turkey,Austria;Turkey,4,2,2,Austria;Turkey,2
5,SPRING,Russia,2,,,0,0,0,Austria;England;Italy;Turkey,4
5,SPRING,Turkey,3,Austria;England;France;Italy;Russia,Austria;France;Italy,5,3,2,Austria;France;Germany;Italy,4
6,FALL,Austria,2,Italy,,1,0,1,England;Germany;Turkey,3
6,FALL,England,2,Austria;France;Germany;Italy;Turkey,France;Italy,5,2,3,France;Italy,2
6,FALL,France,2,England,England,1,1,0,England;Germany,2
6,FALL,Germany,2,Austria;France,,2,0,2,England;Italy;Russia,3
6,FALL,Italy,2,England;Germany,England,2,1,1,Austria;England,2
6,FALL,Russia,2,Germany;Turkey,Turkey,2,1,1,Turkey,1
6,FALL,Turkey,3,Austria;Russia,Russia,2,1,1,England;Russia,2
7,SPRING,Austria,2,England;Russia;Turkey,,3,0,3,Italy,1
7,SPRING,England,2,,,0,0,0,Austria;France;Turkey,3
7,SPRING,France,2,England;Germany;Italy,,3,0,3,,0
7,SPRING,Germany,2,Italy,,1,0,1,France;Russia,2
7,SPRING,Italy,2,Austria,,1,0,1,France;Germany,2
7,SPRING,Russia,2,Germany,,1,0,1,Austria,1
7,SPRING,Turkey,3,England,,1,0,1,Austria,1
