round,phase,power,tom_depth,proposals_sent_to,accepted_deals_with,sent_count,accepted_count,rejected_count,proposals_received_from,received_count
1,SPRING,Austria,2,Russia,Russia,1,1,0,England;Russia;Turkey,3
1,SPRING,England,2,Austria;France;Germany;Italy;Russia;Turkey,Russia,6,1,5,Russia,1
1,SPRING,France,1,Russia;Turkey,Russia,2,1,1,England;Russia,2
1,SPRING,Germany,1,Turkey,Turkey,1,1,0,England;Russia;Turkey,3
1,SPRING,Italy,1,,,0,0,0,England,1
1,SPRING,Russia,1,Austria;England;France;Germany;Turkey,Austria;England;France,5,3,2,Austria;England;France,3
1,SPRING,Turkey,1,Austria;Germany,Germany,2,1,1,England;France;Germany;Russia,4
2,FALL,Austria,2,England;France;Russia,England;Russia,3,2,1,England;Italy;Russia,3
2,FALL,England,2,Austria;France;Turkey,Austria;France,3,2,1,Austria;France;Germany;Italy;Russia,5
2,FALL,France,1,England;Germany;Italy;Russia,England;Germany;Italy;Russia,4,4,0,Austria;England;Germany;Italy;Russia,5
2,FALL,Germany,1,England;France;Italy;Russia;Turkey,France;Italy,5,2,3,France;Italy,2
2,FALL,Italy,1,Austria;England;France;Germany;Russia,France;Germany;Russia,5,3,2,France;Germany;Russia,3
2,FALL,Russia,1,Austria;England;France;Italy,Austria;France;Italy,4,3,1,Austria;France;Germany;Italy,4
2,FALL,Turkey,1,,,0,0,0,England;Germany,2
3,SPRING,Austria,2,England;Germany;Russia,,3,0,3,France;Italy;Turkey,3
3,SPRING,England,2,,,0,0,0,Austria;France;Italy;Turkey,4
3,SPRING,France,1,Austria;England;Germany;Italy;Russia;Turkey,,6,0,6,,0
3,SPRING,Germany,1,,,0,0,0,Austria;France;Russia;Turkey,4
3,SPRING,Italy,1,Austria;England;Russia,,3,0,3,France,1
3,SPRING,Russia,1,Germany;Turkey,,2,0,2,Austria;France;Italy,3
3,SPRING,Turkey,1,Austria;England;Germany,,3,0,3,France;Russia,2
4,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,England;Italy,6,2,4,England;Italy,2
4,FALL,England,2,Austria;France;Germany;Italy;Turkey,Austria;Germany;Turkey,5,3,2,Austria;Germany;Russia;Turkey,4
4,FALL,France,1,Turkey,Turkey,1,1,0,Austria;England;Italy;Turkey,4
4,FALL,Germany,1,England,England,1,1,0,Austria;England;Italy;Turkey,4
4,FALL,Italy,1,Austria;France;Germany;Russia;Turkey,Austria;Russia;Turkey,5,3,2,Austria;England;Russia;Turkey,4
4,FALL,Russia,1,England;Italy,Italy,2,1,1,Austria;Italy,2
4,FALL,Turkey,1,England;France;Germany;Italy,England;France;Italy,4,3,1,Austria;England;France;Italy,4
5,SPRING,Austria,2,England;Russia;Turkey,Russia,3,1,2,France;Italy;Russia,3
5,SPRING,England,2,France;Italy;Russia;Turkey,France;Russia,4,2,2,Austria;France;Russia,3
5,SPRING,France,1,Austria;England;Germany;Russia;Turkey,England,5,1,4,England,1
5,SPRING,Germany,1,,,0,0,0,France;Italy,2
5,SPRING,Italy,1,Austria;Germany;Russia,,3,0,3,England,1
5,SPRING,Russia,1,Austria;England,Austria;England,2,2,0,Austria;England;France;Italy,4
5,SPRING,Turkey,1,,,0,0,0,Austria;England;France,3
6,FALL,Austria,2,England;France;Germany;Italy;Russia;Turkey,France;Germany;Italy;Russia;Turkey,6,5,1,France;Germany;Italy;Russia;Turkey,5
6,FALL,England,2,Germany;Italy;Russia;Turkey,Russia;Turkey,4,2,2,Austria;France;Russia;Turkey,4
6,FALL,France,1,Austria;England;Turkey,Austria;Turkey,3,2,1,Austria;Italy;Russia;Turkey,4
6,FALL,Germany,1,Austria;Russia;Turkey,Austria;Turkey,3,2,1,Austria;England;Italy;Turkey,4
6,FALL,Italy,1,Austria;France;Germany;Russia,Austria;Russia,4,2,2,Austria;England;Russia;Turkey,4
6,FALL,Russia,1,Austria;England;France;Italy;Turkey,Austria;England;Italy,5,3,2,Austria;England;Germany;Italy,4
6,FALL,Turkey,1,Austria;England;France;Germany;Italy,Austria;England;France;Germany,5,4,1,Austria;England;France;Germany;Russia,5
7,SPRING,Austria,2,England;France;Germany;Italy;Russia;Turkey,England;Germany;Russia,6,3,3,England;Germany;Russia,3
7,SPRING,England,2,Austria;Germany;Italy,Austria;Italy,3,2,1,Austria;Italy,2
